Title,Latitude,Longitude,Description
"Leonard's Bakery",21.281,-157.814,"Malasada institution since 1952 — get the custard-filled haupia and eat them in the parking lot.

Category: bakery / hawaiian
Area: Kapahulu
Price: $
Must Order: haupia (coconut) malasada puff (the insider's pick over custard); original plain
Parking: Dedicated parking lot (~15–20 spots)

Founded in 1952 by Leonard Rego Jr., a second-generation Portuguese-Hawaiian whose family traced back to Madeira and the Azores sugar plantation immigrants. Malasadas were traditionally made on Shrove Tuesday (Fat Tuesday) to use up sugar and butter before Lent — Leonard turned the tradition into a year-round institution. The line stretches out the door from morning until close — 20-30 minute waits are standard, longer on weekends. The original plain malasada is perfect, but the haupia (coconut) puff is the insider pick. Bringing a box of Leonard's to a party, office, or someone's house is a power move in Honolulu — never refrigerate them."
"Liliha Bakery",21.3238,-157.8581,"Coco puffs since 1950 — the green chiffon cake and butter rolls are the real insider order.

Category: bakery / hawaiian
Area: Liliha
Price: $
Must Order: coco puffs (non-negotiable); butter rolls ($1)
Parking: Dedicated lot at the original Kuakini St location; Nimitz Hwy location has larger lot

Founded in 1950 by Takeo and Sumie Takakuwa, a Japanese-American couple who built a neighborhood bakery that became a Honolulu institution. The Coco Puff — choux pastry filled with chocolate pudding and topped with Chantilly frosting — is arguably Hawaii's most iconic pastry. Locals just say 'I brought puffs' and everyone on Oahu knows exactly what that means. A box is the standard omiyage (gift) when visiting someone's home. Go before 7am weekdays for fresh batches and zero line — the butter rolls for a dollar are the quiet insider pick."
"Nisshodo Candy Store",21.3214,-157.8724,"Handmade Japanese mochi and manju since the 1920s — hidden in an industrial warehouse, sold out by noon.

Category: bakery / mochi-shop
Area: Kalihi
Price: $
Must Order: chichi dango; mochi; manju
Parking: Free lot on Dillingham Blvd
*** CASH ONLY ***

The Asato family has been making Japanese mochi and manju by hand in this Kalihi warehouse since 1921, making Nisshodo over a century old. The chichi dango recipe has never changed -- glutinous rice flour, sugar, and potato starch, shaped by hand each morning. During New Year's and Obon season, orders back up for weeks. The industrial setting on Dillingham Blvd gives no hint of the treasure inside. Featured on multiple food shows but stubbornly unchanged by the attention."
"Canoes Surf Break (Waikiki)",21.2735,-157.8295,"The birthplace of modern surfing — gentle, long-rolling waves where Duke Kahanamoku and generations of locals learned to ride.

Category: beach / surfing
Area: Waikiki
Price: Free (board rentals $15–25/hr from beach boys on the sand)
Hours: Open daily, sunrise to sunset; best surf windows early morning and late afternoon
Best Time: Year-round — south swells (May–Sep) bring the most consistent waves; mornings before 8 AM for glassy conditions and fewer boards in the water
Parking: Waikiki Shell lot ($5), Kapiolani Park, or Honolulu Zoo lot; street parking is a lost cause
Kid Friendly: Yes

Canoes is named after the old canoe-surfing tradition — ancient Hawaiians rode these breaks in outrigger canoes centuries before fiberglass existed. Duke Kahanamoku grew up surfing here in the early 1900s and spread surfing to the world from this exact break. The wave peels slowly over a sandy bottom for 100+ yards, making it the most forgiving longboard wave on Oahu. The beach boys who work the sand in front of the Moana Surfrider have been giving lessons here since the 1920s — it's the longest-running surf school tradition on Earth. Pro tip: paddle out at the channel between Canoes and Queens to avoid the whitewater crowd, and stay to the left of the break where the wave is mushiest and most forgiving. Crowded by 10 AM with rental boards, so dawn patrol is your friend."
"Hanauma Bay",21.269,-157.6937,"A protected marine sanctuary inside a volcanic crater — the snorkeling is like swimming in an aquarium.

Category: beach / snorkeling
Area: East Honolulu
Price: $25 non-resident, $5 kama'aina; closed Mondays and Tuesdays
Hours: Wed–Sun, 6:45 AM – 4:00 PM (gates close at 1:30 PM for last entry)
Best Time: Book online reservation immediately when slots open (2 days in advance); Wed or Thu for fewest crowds
Parking: $3 parking; lot fills by 9 AM, arrive early or take the shuttle
Kid Friendly: Yes

Hanauma means 'curved bay' in Hawaiian — it formed inside a volcanic crater that eroded on one side, letting the ocean flood in thousands of years ago. Elvis Presley filmed scenes from Blue Hawaii here in 1961, cementing its fame. The mandatory conservation video before entry is no gimmick; the bay nearly died from overuse in the 1990s before strict limits brought the reef back. Go before 7 AM on a Wednesday for the emptiest experience, bring your own gear, and stay in the inner reef where 400+ fish species are so tame they brush against you."
"Kailua Beach Park",21.3976,-157.7271,"The beach Honolulu locals make the drive for — powder-white sand, gentle clear water, views of the Mokes.

Category: beach / swimming
Area: Kailua
Price: Free
Hours: Open daily, 5:00 AM – 10:00 PM
Best Time: Arrive before 9am weekends; weekday mornings are uncrowded
Parking: 3 free lots — arrive before 9am on weekends
Kid Friendly: Yes

Kailua means 'two seas' or 'two currents' in Hawaiian, referring to the twin channels flanking the bay. President Obama repeatedly vacationed here, putting this once-sleepy local beach on the global map. Kayak to Moku Nui (the larger Mokulua Island) and hike over the ridge to a hidden back-side beach with zero people. The afternoon trade winds turn the bay into one of the world's best kiteboarding spots — even if you don't kite, the aerial show from shore is worth staying for."
"Lanikai Beach",21.3901,-157.7134,"Consistently ranked among the world's most beautiful — turquoise water so clear it looks fake.

Category: beach / swimming
Area: Kailua
Price: Free
Hours: Open 24 hours (public beach access via neighborhood paths)
Best Time: Early morning for calm water and fewer people; sunrise is spectacular
Parking: No public lot — park at Kailua Beach Park and walk 10 min
Kid Friendly: Yes

Lanikai means 'heavenly sea' in Hawaiian — a name coined in the 1920s when the area was first developed as a residential neighborhood. There is no public parking lot, no restrooms, and no lifeguards by design; residents fought to keep it that way. Access is through narrow blue-signed paths between beachfront homes on Mokulua Drive that are easy to miss. Do the Lanikai Pillbox hike at sunrise first — the aerial view of the Mokulua Islands from the WWII bunkers above is one of Oahu's most iconic sights, then cool off with a swim below."
"Waikiki Beach",21.2765,-157.8272,"Yes, it's touristy — but the surf break is gentle, the people-watching is elite, and the sunset with Diamond Head is undeniable.

Category: beach / swimming
Area: Waikiki
Price: Free
Hours: Open 24 hours
Best Time: Early morning for calm water and space; sunset for the iconic view
Parking: Use the Waikiki Shell lot ($5) or park at Kapiolani Park; street parking is near impossible
Kid Friendly: Yes

Waikiki means 'spouting waters' in Hawaiian, named for the freshwater springs that once fed taro fields and fishponds where hotels now stand. Duke Kahanamoku, the father of modern surfing and Olympic gold medalist, grew up surfing these breaks and his bronze statue on the beach is the most photographed landmark in Hawaii. The break called 'Canoes' is where generations of locals learned to surf — go at dawn before the rental longboard armada launches. For a quieter stretch, walk east past the Natatorium toward Diamond Head where the sand widens and the crowds thin out."
"Waimea Bay",21.6423,-158.0656,"Birthplace of big wave surfing in winter, glass-calm swimming hole in summer — two completely different worlds.

Category: beach / swimming
Area: North Shore
Price: Free
Hours: Open daily, 7:00 AM – 7:45 PM
Best Time: Summer for calm swimming and Jump Rock; winter for watching 30+ ft waves (do NOT swim)
Parking: Parking fills by 10am — arrive early or use Haleiwa shuttle

Waimea means 'reddish water' in Hawaiian, from the red soil washing into the bay. This is the birthplace of big-wave surfing — Greg Noll rode the first massive waves here in 1957, and the Eddie Aikau Big Wave Invitational, held only when swells hit 30+ feet, is surfing's most sacred event. Jump Rock on the left side is a summer rite of passage for local kids. In winter the bay becomes a churning death trap — even wading is deadly. Waimea Valley across the road makes a perfect combo day."
"Coffee Gallery",21.5856,-158.1033,"North Shore roastery with Oahu, Maui, and Kona beans — the real locals' coffee stop in Haleiwa.

Category: coffee / roaster
Area: Haleiwa
Price: $
Must Order: Waialua estate coffee; bag of Waialua beans ($12–16); iced mocha
Parking: Parking in the North Shore Marketplace lot — easy

A Haleiwa fixture since the early 2000s, Coffee Gallery roasts beans from multiple Hawaiian estates in-house: Waialua (grown right here on the North Shore), Kona, Maui, and Kauai. The Waialua estate coffee is the insider move — you’re drinking coffee grown 10 miles away on former Dole plantation land. Grab a bag of Waialua beans as a souvenir most visitors don’t know exists — Oahu-grown coffee is genuinely rare."
